date,pref_no,Prefecture,Area,cases,Prefecture_code
2021-03-16,1,Hokkaido,北海道地方,69,JP-01
2021-03-17,1,Hokkaido,北海道地方,73,JP-01
2021-03-18,1,Hokkaido,北海道地方,96,JP-01
2021-03-19,1,Hokkaido,北海道地方,78,JP-01
2021-03-20,1,Hokkaido,北海道地方,51,JP-01
2021-03-21,1,Hokkaido,北海道地方,60,JP-01
2021-03-22,1,Hokkaido,北海道地方,50,JP-01
2021-03-23,1,Hokkaido,北海道地方,42,JP-01
2021-03-24,1,Hokkaido,北海道地方,81,JP-01
2021-03-25,1,Hokkaido,北海道地方,67,JP-01
2021-03-26,1,Hokkaido,北海道地方,69,JP-01
2021-03-27,1,Hokkaido,北海道地方,62,JP-01
2021-03-28,1,Hokkaido,北海道地方,74,JP-01
2021-03-29,1,Hokkaido,北海道地方,46,JP-01
2021-03-30,1,Hokkaido,北海道地方,56,JP-01
2021-03-31,1,Hokkaido,北海道地方,76,JP-01
2021-04-01,1,Hokkaido,北海道地方,57,JP-01
2021-04-02,1,Hokkaido,北海道地方,57,JP-01
2021-04-03,1,Hokkaido,北海道地方,66,JP-01
2021-04-04,1,Hokkaido,北海道地方,53,JP-01
2021-04-05,1,Hokkaido,北海道地方,71,JP-01
2021-04-06,1,Hokkaido,北海道地方,63,JP-01
2021-04-07,1,Hokkaido,北海道地方,72,JP-01
2021-04-08,1,Hokkaido,北海道地方,79,JP-01
2021-04-09,1,Hokkaido,北海道地方,83,JP-01
2021-04-10,1,Hokkaido,北海道地方,116,JP-01
2021-04-11,1,Hokkaido,北海道地方,69,JP-01
2021-04-12,1,Hokkaido,北海道地方,58,JP-01
2021-04-13,1,Hokkaido,北海道地方,60,JP-01
2021-04-14,1,Hokkaido,北海道地方,77,JP-01
2021-04-15,1,Hokkaido,北海道地方,101,JP-01
2021-04-16,1,Hokkaido,北海道地方,98,JP-01
2021-04-17,1,Hokkaido,北海道地方,109,JP-01
2021-04-18,1,Hokkaido,北海道地方,98,JP-01
2021-04-19,1,Hokkaido,北海道地方,78,JP-01
2021-04-20,1,Hokkaido,北海道地方,106,JP-01
2021-04-21,1,Hokkaido,北海道地方,124,JP-01
2021-04-22,1,Hokkaido,北海道地方,153,JP-01
2021-04-23,1,Hokkaido,北海道地方,158,JP-01
2021-04-24,1,Hokkaido,北海道地方,160,JP-01
2021-04-25,1,Hokkaido,北海道地方,110,JP-01
2021-04-26,1,Hokkaido,北海道地方,139,JP-01
2021-04-27,1,Hokkaido,北海道地方,121,JP-01
2021-04-28,1,Hokkaido,北海道地方,219,JP-01
2021-04-29,1,Hokkaido,北海道地方,234,JP-01
2021-04-30,1,Hokkaido,北海道地方,187,JP-01
2021-05-01,1,Hokkaido,北海道地方,180,JP-01
2021-05-02,1,Hokkaido,北海道地方,326,JP-01
2021-05-03,1,Hokkaido,北海道地方,114,JP-01
2021-05-04,1,Hokkaido,北海道地方,233,JP-01
2021-05-05,1,Hokkaido,北海道地方,181,JP-01
2021-05-06,1,Hokkaido,北海道地方,320,JP-01
2021-05-07,1,Hokkaido,北海道地方,248,JP-01
